date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:09	13985/13985	---M-Z	200	added ('OK')	text/html	etag:W/%225b5b9753-36a1%22	https://technext.github.io/amado/index.html	C:/My%20Web%20Sites/amado/technext.github.io/amado/index.html	(from )
13:46:10	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73842c-247b%22	https://technext.github.io/robots.txt		(from )
13:46:10	1045/1045	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225b5b9753-415%22	https://technext.github.io/amado/img/core-img/favicon.ico	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/favicon.ico	(from https://technext.github.io/amado/index.html)
13:46:10	45030/45030	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-afe6%22	https://technext.github.io/amado/css/core-style.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/core-style.css	(from https://technext.github.io/amado/index.html)
13:46:10	598/598	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-256%22	https://technext.github.io/amado/style.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/style.css	(from https://technext.github.io/amado/index.html)
13:46:11	919/919	---M--	200	added ('OK')	image/png	etag:%225b5b9753-397%22	https://technext.github.io/amado/img/core-img/search.png	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/search.png	(from https://technext.github.io/amado/index.html)
13:46:11	1598/1598	---M--	200	added ('OK')	image/png	etag:%225b5b9753-63e%22	https://technext.github.io/amado/img/core-img/logo.png	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/logo.png	(from https://technext.github.io/amado/index.html)
13:46:11	30118/30118	---M-Z	200	added ('OK')	text/html	etag:W/%225b5b9753-75a6%22	https://technext.github.io/amado/shop.html	C:/My%20Web%20Sites/amado/technext.github.io/amado/shop.html	(from https://technext.github.io/amado/index.html)
13:46:11	15979/15979	---M-Z	200	added ('OK')	text/html	etag:W/%225b5b9753-3e6b%22	https://technext.github.io/amado/product-details.html	C:/My%20Web%20Sites/amado/technext.github.io/amado/product-details.html	(from https://technext.github.io/amado/index.html)
13:46:12	16021/16021	---M-Z	200	added ('OK')	text/html	etag:W/%225b5b9753-3e95%22	https://technext.github.io/amado/cart.html	C:/My%20Web%20Sites/amado/technext.github.io/amado/cart.html	(from https://technext.github.io/amado/index.html)
13:46:12	15204/15204	---M-Z	200	added ('OK')	text/html	etag:W/%225b5b9753-3b64%22	https://technext.github.io/amado/checkout.html	C:/My%20Web%20Sites/amado/technext.github.io/amado/checkout.html	(from https://technext.github.io/amado/index.html)
13:46:12	854/854	---M--	200	added ('OK')	image/png	etag:%225b5b9753-356%22	https://technext.github.io/amado/img/core-img/cart.png	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/cart.png	(from https://technext.github.io/amado/index.html)
13:46:12	870/870	---M--	200	added ('OK')	image/png	etag:%225b5b9753-366%22	https://technext.github.io/amado/img/core-img/favorites.png	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/favorites.png	(from https://technext.github.io/amado/index.html)
13:46:13	46892/46892	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-b72c%22	https://technext.github.io/amado/img/bg-img/1.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/1.jpg	(from https://technext.github.io/amado/index.html)
13:46:13	27074/27074	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-69c2%22	https://technext.github.io/amado/img/bg-img/2.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/2.jpg	(from https://technext.github.io/amado/index.html)
13:46:13	39167/39167	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-98ff%22	https://technext.github.io/amado/img/bg-img/3.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/3.jpg	(from https://technext.github.io/amado/index.html)
13:46:13	11252/11252	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-2bf4%22	https://technext.github.io/amado/img/bg-img/4.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/4.jpg	(from https://technext.github.io/amado/index.html)
13:46:14	38676/38676	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-9714%22	https://technext.github.io/amado/img/bg-img/5.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/5.jpg	(from https://technext.github.io/amado/index.html)
13:46:14	31955/31955	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-7cd3%22	https://technext.github.io/amado/img/bg-img/6.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/6.jpg	(from https://technext.github.io/amado/index.html)
13:46:14	26784/26784	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-68a0%22	https://technext.github.io/amado/img/bg-img/7.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/7.jpg	(from https://technext.github.io/amado/index.html)
13:46:14	44541/44541	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-adfd%22	https://technext.github.io/amado/img/bg-img/8.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/8.jpg	(from https://technext.github.io/amado/index.html)
13:46:15	14783/14783	---M--	200	added ('OK')	image/jpeg	etag:%225b5b9753-39bf%22	https://technext.github.io/amado/img/bg-img/9.jpg	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/bg-img/9.jpg	(from https://technext.github.io/amado/index.html)
13:46:15	1598/1598	---M--	200	added ('OK')	image/png	etag:%225b5b9753-63e%22	https://technext.github.io/amado/img/core-img/logo2.png	C:/My%20Web%20Sites/amado/technext.github.io/amado/img/core-img/logo2.png	(from https://technext.github.io/amado/index.html)
13:46:15	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b9753-14e4a%22	https://technext.github.io/amado/js/jquery/jquery-2.2.4.min.js	C:/My%20Web%20Sites/amado/technext.github.io/amado/js/jquery/jquery-2.2.4.min.js	(from https://technext.github.io/amado/index.html)
13:46:16	19033/19033	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b9753-4a59%22	https://technext.github.io/amado/js/popper.min.js	C:/My%20Web%20Sites/amado/technext.github.io/amado/js/popper.min.js	(from https://technext.github.io/amado/index.html)
13:46:16	50676/50676	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b9753-c5f4%22	https://technext.github.io/amado/js/bootstrap.min.js	C:/My%20Web%20Sites/amado/technext.github.io/amado/js/bootstrap.min.js	(from https://technext.github.io/amado/index.html)
13:46:17	217090/217090	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b9753-35002%22	https://technext.github.io/amado/js/plugins.js	C:/My%20Web%20Sites/amado/technext.github.io/amado/js/plugins.js	(from https://technext.github.io/amado/index.html)
13:46:17	3236/3236	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b5b9753-ca4%22	https://technext.github.io/amado/js/active.js	C:/My%20Web%20Sites/amado/technext.github.io/amado/js/active.js	(from https://technext.github.io/amado/index.html)
13:46:17	140421/140421	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-22485%22	https://technext.github.io/amado/css/bootstrap.min.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/bootstrap.min.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:18	4614/4614	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-1206%22	https://technext.github.io/amado/css/owl.carousel.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/owl.carousel.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:18	47635/47635	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-ba13%22	https://technext.github.io/amado/css/animate.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/animate.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:18	5599/5599	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-15df%22	https://technext.github.io/amado/css/magnific-popup.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/magnific-popup.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:19	17631/17631	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-44df%22	https://technext.github.io/amado/css/jquery-ui.min.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/jquery-ui.min.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:19	3909/3909	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-f45%22	https://technext.github.io/amado/css/nice-select.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/nice-select.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:19	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225b5b9753-7918%22	https://technext.github.io/amado/css/font-awesome.min.css	C:/My%20Web%20Sites/amado/technext.github.io/amado/css/font-awesome.min.css	(from https://technext.github.io/amado/css/core-style.css)
13:46:20	17988/17988	---M--	200	added ('OK')	font/woff2	etag:%225b5b9753-4644%22	https://technext.github.io/amado/fonts/helvetica_neu_bold-webfont.woff2	C:/My%20Web%20Sites/amado/technext.github.io/amado/fonts/helvetica_neu_bold-webfont.woff2	(from https://technext.github.io/amado/css/core-style.css)
13:46:20	23536/23536	---M--	200	added ('OK')	font/woff	etag:%225b5b9753-5bf0%22	https://technext.github.io/amado/fonts/helvetica_neu_bold-webfont.woff	C:/My%20Web%20Sites/amado/technext.github.io/amado/fonts/helvetica_neu_bold-webfont.woff	(from https://technext.github.io/amado/css/core-style.css)
13:46:20	17848/17848	---M--	200	added ('OK')	font/woff2	etag:%225b5b9753-45b8%22	https://technext.github.io/amado/fonts/helveticaneue_medium-webfont.woff2	C:/My%20Web%20Sites/amado/technext.github.io/amado/fonts/helveticaneue_medium-webfont.woff2	(from https://technext.github.io/amado/css/core-style.css)
